variante_raw,caa_canonico,uf,nome_completo
CAAAC,CAAAC,AC,Caixa de Assistência dos Advogados do Acre
CAAAC - Acre,CAAAC,AC,Caixa de Assistência dos Advogados do Acre
CAA-AC,CAAAC,AC,Caixa de Assistência dos Advogados do Acre
CAAAL,CAAAL,AL,Caixa de Assistência dos Advogados de Alagoas
CAAAL - Alagoas,CAAAL,AL,Caixa de Assistência dos Advogados de Alagoas
CAA-AL,CAAAL,AL,Caixa de Assistência dos Advogados de Alagoas
CAAAM,CAAAM,AM,Caixa de Assistência dos Advogados do Amazonas
CAAAM - Amazonas,CAAAM,AM,Caixa de Assistência dos Advogados do Amazonas
CAA-AM,CAAAM,AM,Caixa de Assistência dos Advogados do Amazonas
CAAAP,CAAAP,AP,Caixa de Assistência dos Advogados do Amapá
CAA-AP,CAAAP,AP,Caixa de Assistência dos Advogados do Amapá
CAABA,CAABA,BA,Caixa de Assistência dos Advogados da Bahia
CAABA - Bahia,CAABA,BA,Caixa de Assistência dos Advogados da Bahia
CAA-BA,CAABA,BA,Caixa de Assistência dos Advogados da Bahia
CAACE,CAACE,CE,Caixa de Assistência dos Advogados do Ceará
CAA-CE,CAACE,CE,Caixa de Assistência dos Advogados do Ceará
CAADF,CAADF,DF,Caixa de Assistência dos Advogados do Distrito Federal
CAA-DF,CAADF,DF,Caixa de Assistência dos Advogados do Distrito Federal
CAAES,CAAES,ES,Caixa de Assistência dos Advogados do Espírito Santo
CAA-ES,CAAES,ES,Caixa de Assistência dos Advogados do Espírito Santo
CAAGO,CAAGO,GO,Caixa de Assistência dos Advogados de Goiás
CASAG,CAAGO,GO,Caixa de Assistência dos Advogados de Goiás
CAA-GO,CAAGO,GO,Caixa de Assistência dos Advogados de Goiás
CAAMA,CAAMA,MA,Caixa de Assistência dos Advogados do Maranhão
CAA-MA,CAAMA,MA,Caixa de Assistência dos Advogados do Maranhão
CAAMS,CAAMS,MS,Caixa de Assistência dos Advogados do Mato Grosso do Sul
CAA-MS,CAAMS,MS,Caixa de Assistência dos Advogados do Mato Grosso do Sul
CAAMT,CAAMT,MT,Caixa de Assistência dos Advogados do Mato Grosso
CAA-MT,CAAMT,MT,Caixa de Assistência dos Advogados do Mato Grosso
CAAPA,CAAPA,PA,Caixa de Assistência dos Advogados do Pará
CAA-PA,CAAPA,PA,Caixa de Assistência dos Advogados do Pará
CAAPB,CAAPB,PB,Caixa de Assistência dos Advogados da Paraíba
CAA-PB,CAAPB,PB,Caixa de Assistência dos Advogados da Paraíba
CAAPE,CAAPE,PE,Caixa de Assistência dos Advogados de Pernambuco
CAA-PE,CAAPE,PE,Caixa de Assistência dos Advogados de Pernambuco
CAAPI,CAAPI,PI,Caixa de Assistência dos Advogados do Piauí
CAA-PI,CAAPI,PI,Caixa de Assistência dos Advogados do Piauí
CAAPR,CAAPR,PR,Caixa de Assistência dos Advogados do Paraná
CAA-PR,CAAPR,PR,Caixa de Assistência dos Advogados do Paraná
CAARJ,CAARJ,RJ,Caixa de Assistência dos Advogados do Rio de Janeiro
CAA-RJ,CAARJ,RJ,Caixa de Assistência dos Advogados do Rio de Janeiro
CAARN,CAARN,RN,Caixa de Assistência dos Advogados do Rio Grande do Norte
CAA-RN,CAARN,RN,Caixa de Assistência dos Advogados do Rio Grande do Norte
CAARS,CAARS,RS,Caixa de Assistência dos Advogados do Rio Grande do Sul
CAA-RS,CAARS,RS,Caixa de Assistência dos Advogados do Rio Grande do Sul
CAASC,CAASC,SC,Caixa de Assistência dos Advogados de Santa Catarina
CAA-SC,CAASC,SC,Caixa de Assistência dos Advogados de Santa Catarina
CAASE,CAASE,SE,Caixa de Assistência dos Advogados de Sergipe
CAA-SE,CAASE,SE,Caixa de Assistência dos Advogados de Sergipe
CAASP,CAASP,SP,Caixa de Assistência dos Advogados de São Paulo
CAA-SP,CAASP,SP,Caixa de Assistência dos Advogados de São Paulo
CAATO,CAATO,TO,Caixa de Assistência dos Advogados do Tocantins
CAA-TO,CAATO,TO,Caixa de Assistência dos Advogados do Tocantins
