variante_raw,categoria_canonica,subcategoria_canonica,pilar_editorial
Benefícios e Convênios,Benefícios e Convênios,Geral,Padrão Ouro
Convênios e Parcerias,Benefícios e Convênios,Convênios,Padrão Ouro
Convênios,Benefícios e Convênios,Convênios,Padrão Ouro
Parcerias,Benefícios e Convênios,Convênios,Padrão Ouro
Sesc,Benefícios e Convênios,Sesc,Padrão Ouro
Farmácias,Benefícios e Convênios,Farmácias,Padrão Ouro
Restaurantes,Benefícios e Convênios,Alimentação,Padrão Ouro
Alimentação,Benefícios e Convênios,Alimentação,Padrão Ouro
Nissei,Benefícios e Convênios,Farmácias,Padrão Ouro
Descontos,Benefícios e Convênios,Descontos,Padrão Ouro
Sorteios,Sorteios,Geral,Motor do Engajamento
Sorteio,Sorteios,Geral,Motor do Engajamento
Sorteio Geral,Sorteios,Geral,Motor do Engajamento
Sorteio de Prêmios,Sorteios,Prêmios,Motor do Engajamento
Sorteio Especial,Sorteios,Especial,Motor do Engajamento
Esporte e Bem-estar,Esporte e Bem-estar,Geral,Motor do Engajamento
Eventos Esportivos,Esporte e Bem-estar,Eventos,Motor do Engajamento
Wellhub/Gympass,Esporte e Bem-estar,Wellhub,Motor do Engajamento
Wellhub,Esporte e Bem-estar,Wellhub,Motor do Engajamento
Gympass,Esporte e Bem-estar,Wellhub,Motor do Engajamento
TotalPass,Esporte e Bem-estar,TotalPass,Motor do Engajamento
Esportes Radicais,Esporte e Bem-estar,Esportes Radicais,Cauda Longa
Paraquedismo,Esporte e Bem-estar,Paraquedismo,Cauda Longa
Clube de Tiro,Esporte e Bem-estar,Esportes Radicais,Cauda Longa
MMA,Esporte e Bem-estar,Artes Marciais,Cauda Longa
Saúde,Saúde,Geral,Padrão Ouro
Saúde Mental,Saúde,Saúde Mental,Padrão Ouro
Telemedicina,Saúde,Telemedicina,Padrão Ouro
Planos de Saúde,Saúde,Planos,Padrão Ouro
Campanha de Vacinação,Saúde,Vacinação,Padrão Ouro
Saúde Pet,Saúde,Pet,Cauda Longa
Psicologia Viva,Saúde,Saúde Mental,Padrão Ouro
Conexa,Saúde,Telemedicina,Padrão Ouro
Institucional,Institucional,Geral,Institucional
Comunicado,Institucional,Comunicado,Institucional
Evento Institucional,Institucional,Evento,Institucional
Outros,Outros,Geral,Outros
Geral,Outros,Geral,Outros
