uf,estado,total_advogados,periodo,fonte
SP,São Paulo,404461,2026-03,OAB (autoritative)
RJ,Rio de Janeiro,172504,2026-03,OAB (autoritative)
MG,Minas Gerais,158161,2026-03,OAB (autoritative)
RS,Rio Grande do Sul,104135,2026-03,OAB (autoritative)
PR,Paraná,100639,2026-03,OAB (autoritative)
BA,Bahia,69474,2026-03,OAB (autoritative)
DF,Distrito Federal,62686,2026-03,OAB (autoritative)
GO,Goiás,61767,2026-03,OAB (autoritative)
SC,Santa Catarina,60046,2026-03,OAB (autoritative)
PE,Pernambuco,48093,2026-03,OAB (autoritative)
CE,Ceará,43456,2026-03,OAB (autoritative)
PA,Pará,32364,2026-03,OAB (autoritative)
ES,Espírito Santo,30821,2026-03,OAB (autoritative)
MT,Mato Grosso,29377,2026-03,OAB (autoritative)
MA,Maranhão,27952,2026-03,OAB (autoritative)
PB,Paraíba,24226,2026-03,OAB (autoritative)
MS,Mato Grosso do Sul,21629,2026-03,OAB (autoritative)
PI,Piauí,19865,2026-03,OAB (autoritative)
RN,Rio Grande do Norte,18553,2026-03,OAB (autoritative)
AM,Amazonas,18459,2026-03,OAB (autoritative)
AL,Alagoas,17250,2026-03,OAB (autoritative)
SE,Sergipe,14866,2026-03,OAB (autoritative)
RO,Rondônia,12596,2026-03,OAB (autoritative)
TO,Tocantins,11621,2026-03,OAB (autoritative)
AP,Amapá,5056,2026-03,OAB (autoritative)
AC,Acre,4736,2026-03,OAB (autoritative)
RR,Roraima,3479,2026-03,OAB (autoritative)
